Latitude,Longitude,Elevation
-34.2670200,18.46390000,189.0
-34.2669900,18.46389000,190.0
-34.2669900,18.46390000,189.0
-34.2669400,18.46400000,187.0
-34.2668400,18.46388000,189.0
-34.2668000,18.46383000,189.0
-34.2667500,18.46379000,189.0
-34.2667300,18.46376000,190.0
-34.2667200,18.46375000,190.0
-34.2666800,18.46368000,190.0
-34.2666300,18.46366000,190.0
-34.2666100,18.46361000,191.0
-34.2665900,18.46358000,191.0
-34.2665600,18.46356000,191.0
-34.2665300,18.46352000,191.0
-34.2664800,18.46345000,191.0
-34.2664200,18.46339000,191.0
-34.2663900,18.46333000,192.0
-34.2663600,18.46328000,191.0
-34.2663400,18.46324000,191.0
-34.2663400,18.46318000,191.0
-34.2663500,18.46314000,192.0
-34.2663700,18.46311000,192.0
-34.2664000,18.46305000,193.0
-34.2664300,18.46299000,194.0
-34.2662400,18.46272000,193.0
-34.2659900,18.46241000,192.0
-34.2658400,18.46226000,191.0
-34.2656900,18.46212000,191.0
-34.2648000,18.46139000,187.0
-34.2645000,18.46113000,185.0
-34.2643400,18.46098000,183.0
-34.2642200,18.46087000,182.0
-34.2639600,18.46060000,181.0
-34.2632300,18.45976000,177.0
-34.2630000,18.45950000,175.0
-34.2627900,18.45928000,172.0
-34.2625800,18.45906000,171.0
-34.2623500,18.45885000,170.0
-34.2620100,18.45853000,168.0
-34.2619400,18.45845000,168.0
-34.2618800,18.45841000,167.0
-34.2617900,18.45828000,167.0
-34.2617300,18.45821000,166.0
-34.2616600,18.45807000,166.0
-34.2617100,18.45807000,167.0
-34.2617900,18.45808000,168.0
-34.2618300,18.45806000,168.0
-34.2618500,18.45802000,169.0
-34.2618600,18.45802000,169.0
-34.2618700,18.45794000,169.0
-34.2619500,18.45786000,171.0
-34.2622300,18.45765000,176.0
-34.2623100,18.45756000,177.0
-34.2623500,18.45753000,178.0
-34.2624100,18.45739000,180.0
-34.2624600,18.45736000,181.0
-34.2625900,18.45737000,184.0
-34.2627000,18.45742000,186.0
-34.2628800,18.45742000,190.0
-34.2631500,18.45749000,196.0
-34.2633400,18.45757000,200.0
-34.2634400,18.45767000,201.0
-34.2635400,18.45772000,203.0
-34.2636500,18.45775000,205.0
-34.2640900,18.45810000,212.0
-34.2646300,18.45867000,209.0
-34.2650700,18.45906000,218.0
-34.2653600,18.45931000,223.0
-34.2656700,18.45967000,226.0
-34.2660600,18.45998000,233.0
-34.2665500,18.46022000,241.0
-34.2667000,18.46018000,244.0
-34.2667600,18.45998000,248.0
-34.2667200,18.45990000,249.0
-34.2667500,18.45982000,251.0
-34.2669200,18.45988000,250.0
-34.2669800,18.45961000,254.0
-34.2668400,18.45947000,257.0
-34.2667400,18.45930000,260.0
-34.2666800,18.45892000,266.0
-34.2666700,18.45888000,266.0
-34.2664800,18.45795000,263.0
-34.2663700,18.45770000,265.0
-34.2664000,18.45754000,264.0
-34.2664200,18.45735000,262.0
-34.2664200,18.45700000,259.0
-34.2663600,18.45673000,257.0
-34.2662700,18.45640000,250.0
-34.2662000,18.45622000,247.0
-34.2659900,18.45600000,247.0
-34.2657500,18.45561000,241.0
-34.2655800,18.45544000,238.0
-34.2654700,18.45524000,235.0
-34.2654900,18.45514000,233.0
-34.2655300,18.45496000,231.0
-34.2655100,18.45485000,230.0
-34.2655200,18.45458000,229.0
-34.2656100,18.45425000,230.0
-34.2657000,18.45407000,233.0
-34.2657800,18.45401000,234.0
-34.2658300,18.45395000,236.0
-34.2658400,18.45387000,237.0
-34.2658200,18.45380000,237.0
-34.2657400,18.45360000,238.0
-34.2657500,18.45352000,239.0
-34.2659000,18.45348000,241.0
-34.2659500,18.45342000,241.0
-34.2659400,18.45331000,243.0
-34.2658700,18.45315000,244.0
-34.2658400,18.45301000,245.0
-34.2658000,18.45278000,248.0
-34.2657800,18.45270000,249.0
-34.2656700,18.45253000,251.0
-34.2655800,18.45241000,253.0
-34.2655500,18.45226000,256.0
-34.2654600,18.45206000,258.0
-34.2655000,18.45198000,261.0
-34.2655300,18.45194000,262.0
-34.2655300,18.45182000,262.0
-34.2654100,18.45172000,261.0
-34.2653900,18.45164000,261.0
-34.2654300,18.45158000,262.0
-34.2655100,18.45156000,263.0
-34.2655900,18.45148000,264.0
-34.2656400,18.45147000,265.0
-34.2657000,18.45151000,265.0
-34.2657800,18.45147000,266.0
-34.2658200,18.45135000,266.0
-34.2656800,18.45115000,266.0
-34.2656700,18.45109000,266.0
-34.2656800,18.45099000,265.0
-34.2656400,18.45091000,265.0
-34.2655600,18.45061000,264.0
-34.2655500,18.45043000,263.0
-34.2654400,18.45032000,261.0
-34.2653100,18.45011000,258.0
-34.2653100,18.44994000,256.0
-34.2652200,18.44979000,255.0
-34.2651100,18.44953000,254.0
-34.2650300,18.44923000,251.0
-34.2650400,18.44897000,246.0
-34.2649700,18.44883000,245.0
-34.2648900,18.44875000,246.0
-34.2648700,18.44846000,241.0
-34.2648500,18.44832000,240.0
-34.2648300,18.44815000,239.0
-34.2646100,18.44735000,238.0
-34.2645400,18.44724000,238.0
-34.2644700,18.44706000,236.0
-34.2644700,18.44689000,235.0
-34.2644400,18.44670000,235.0
-34.2642300,18.44609000,231.0
-34.2641100,18.44587000,228.0
-34.2641600,18.44564000,224.0
-34.2641200,18.44555000,223.0
-34.2641000,18.44546000,222.0
-34.2641100,18.44530000,219.0
-34.2641600,18.44515000,218.0
-34.2642200,18.44503000,216.0
-34.2641800,18.44481000,214.0
-34.2637400,18.44397000,195.0
-34.2634800,18.44378000,196.0
-34.2633400,18.44348000,193.0
-34.2633400,18.44340000,191.0
-34.2633700,18.44333000,189.0
