"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-04","0.03",,"67","93","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-07","0.10",,"74","92","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-08","0.00",,"81","94","69"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-10","0.19",,"83","97","72"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-11","0.54",,"67",,"64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-15","0.06",,"70","91","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-16","0.09",,"73","80","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-17",,,"79","90","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-18","0.33",,"75","90","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-19","0.50",,"67","86","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-20","0.06",,"75","92","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-22","0.01",,"68","76","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-23","0.00",,"74","89","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-24","0.01",,"80","97","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-25",,,"75","97","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-26",,,"71","85","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-27","0.55",,"76","90","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-28","0.75",,"69","90","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-01-29","0.01",,"70","78","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-02-01","0.37",,"69","81","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-02-02","0.00",,"71","83","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-02-03",,,"77","92","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-02-05","0.19",,"62",,
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-02-06","0.62",,"60","86","31"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-02-07","0.37",,"73","100","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-02-08","0.03",,"75","87","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-02-09","0.01",,"77","87","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2013-02-10",,,"77","87","69"
