"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-01",,"77","90","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-02",,"77","90","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-03",,"71","90","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-05","0.04","67","74","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-10",,"67","82","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-11",,"70","80","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-12",,"77","88","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-13",,"70","74","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-14","1.30","69","80","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-15","0.01","70","80","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-16","0.16","65","76","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-17","0.04","58","67","53"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-18","0.00","62","75","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-19",,"72","89","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-20",,"72","89","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-21","0.39","65","87","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-22","0.04","70","80","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-23","0.00","76","89","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-24",,"74","89","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-25",,"72","88","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-26",,"65","88","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-27",,"71","79","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-28",,"75","87","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-29",,"69","87","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-30",,"74","84","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-01-31",,"70","84","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-01",,"74","86","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-02",,"77","90","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-03",,"72","90","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-04",,"76","87","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-05",,"74","84","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-06","0.04","67","84","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-07","0.03","74","85","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-08","0.01","76","88","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-09","0.00","77","87","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-10",,"74","87","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-11",,"74","88","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-12",,"76","89","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-13",,"73","89","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-16","0.16","69","77","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-17","1.02","69","78","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-18","0.12","72","84","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-19","0.03","67","84","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-20","0.39","61","73","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-21","0.83","59","63","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-22","1.65","61","66","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-23","0.04","61","67","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-24","0.16","64","71","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-02-25","0.01","72","84","59"
