"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-01",,"61","82","48"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-02",,"53","77","35"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-03",,"53","74","34"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-04",,"59","78","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-05",,"58","78","48"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-06",,"63","75","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-07",,"63","82","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-08",,"59","82","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-09",,"57","76","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-10",,"56","84","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-11",,"65","87","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-12",,"64","87","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-13",,"61","87","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-14",,"60","80","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-15",,"60","80","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2019-07-16",,"58","80","42"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2019-07-01","0.83","51","61","48"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2019-07-02","0.75","60","64","48"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2019-07-03","1.02","49","63","44"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2019-07-04","0.04","54","69","42"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2019-07-05","1.54","60","69","53"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2019-07-06","0.12","59","64","54"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2019-07-07","2.56","62","65","54"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2019-07-08","0.47","55","65","49"
