STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,01/01/2021,0.16,66,90,58
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,02/01/2021,0.39,58,72,54
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,03/01/2021,0.02,68,79,58
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,04/01/2021,0,69,81,63
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,05/01/2021,0.67,73,86,66
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,06/01/2021,0.31,67,86,62
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,07/01/2021,0.02,67,78,58
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,08/01/2021,0.01,75,90,61
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,09/01/2021,0,75,90,67
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,10/01/2021,,73,86,64
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,11/01/2021,,72,83,63
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,12/01/2021,,73,86,65
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,13/01/2021,,73,86,66
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,14/01/2021,,74,86,67
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,15/01/2021,,73,86,67
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,16/01/2021,1.34,73,86,65
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,17/01/2021,0.16,68,83,63
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,18/01/2021,0,71,81,60
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,19/01/2021,,74,86,62
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,20/01/2021,,70,86,62
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,21/01/2021,,73,86,60
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,22/01/2021,,77,90,63
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,23/01/2021,,77,90,60
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,24/01/2021,,69,90,63
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,25/01/2021,,60,80,58
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,26/01/2021,,71,83,61
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,30/01/2021,,72,79,67
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,31/01/2021,,71,83,66
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,01/02/2021,1.73,65,83,57
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,02/02/2021,1.46,59,74,55
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,03/02/2021,0.02,68,81,58
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,04/02/2021,0.08,73,83,66
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,07/02/2021,,69,84,63
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,08/02/2021,,73,87,62
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,09/02/2021,,71,87,66
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,13/02/2021,,70,75,65
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,14/02/2021,,70,80,66
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,15/02/2021,,69,82,61
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,16/02/2021,0.51,58,82,56
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,17/02/2021,0,63,78,53
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,18/02/2021,0.01,71,88,54
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,19/02/2021,0,66,88,60
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,22/02/2021,0.04,64,93,62
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,23/02/2021,0.03,71,85,64
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,24/02/2021,0.01,69,85,64
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,25/02/2021,0.2,67,77,57
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,26/02/2021,0.08,63,77,60
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,27/02/2021,0.03,64,77,54
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,28/02/2021,0,64,77,58
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,01/03/2021,,64,77,53
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,02/03/2021,,68,78,59
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,03/03/2021,,73,85,55
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,04/03/2021,,73,87,57
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,05/03/2021,,72,87,61
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,06/03/2021,,71,84,62
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,07/03/2021,,74,87,62
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,08/03/2021,0.02,77,92,63
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,09/03/2021,0,75,92,61
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,10/03/2021,,78,92,64
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,11/03/2021,,73,92,59
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,12/03/2021,,70,90,60
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,13/03/2021,,74,85,63
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,14/03/2021,,72,85,58
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,15/03/2021,,73,86,60
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,16/03/2021,,70,86,61
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,17/03/2021,0.04,65,81,61
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,18/03/2021,0,67,80,58
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,19/03/2021,0.31,70,85,58
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,20/03/2021,0.01,71,85,62
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,21/03/2021,0.12,66,83,60
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,22/03/2021,0,64,79,58
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,23/03/2021,,65,79,58
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,25/03/2021,0.04,58,71,55
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,26/03/2021,0.91,62,74,53
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,27/03/2021,0,64,79,53
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,28/03/2021,0.01,61,79,55
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,29/03/2021,0,64,78,54
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,30/03/2021,,63,78,56
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,31/03/2021,,70,88,54
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,01/04/2021,,71,88,54
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,02/04/2021,,73,86,64
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,03/04/2021,,61,85,57
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,04/04/2021,0.03,65,81,56
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,05/04/2021,0.01,66,81,56
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,06/04/2021,0,63,79,54
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,07/04/2021,,68,81,61
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,08/04/2021,,68,84,53
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,09/04/2021,,67,84,57
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,10/04/2021,,72,86,59
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,11/04/2021,,72,91,55
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,12/04/2021,,69,91,52
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,13/04/2021,,71,90,53
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,14/04/2021,,73,90,55
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,15/04/2021,0.02,69,89,56
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,16/04/2021,0.03,57,,49
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,17/04/2021,0.02,58,71,49
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,18/04/2021,0,62,80,44
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,19/04/2021,,64,84,47
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,20/04/2021,,60,84,52
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,21/04/2021,,65,80,51
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,22/04/2021,,62,80,51
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,23/04/2021,0.31,58,78,50
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,24/04/2021,0.01,57,72,44
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,25/04/2021,0,61,75,50
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,26/04/2021,,65,82,47
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,27/04/2021,,67,85,48
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,28/04/2021,,65,85,50
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,29/04/2021,,69,86,55
SF003724960,"VRYHEID, SF",-27.783,30.8,1163,30/04/2021,,59,86,52
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,02/01/2021,,70,76,62
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,03/01/2021,,65,76,55
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,04/01/2021,,53,72,49
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,05/01/2021,,58,66,48
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,06/01/2021,,61,67,58
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,07/01/2021,0.04,55,67,49
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,08/01/2021,0,57,62,51
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,09/01/2021,0.01,55,62,45
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,10/01/2021,0,61,64,56
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,11/01/2021,0.28,63,69,61
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,12/01/2021,0.2,65,71,59
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,13/01/2021,0,62,71,56
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,14/01/2021,,60,67,55
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,15/01/2021,0.16,61,67,56
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,16/01/2021,0,58,65,49
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,17/01/2021,0.04,59,65,55
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,18/01/2021,0.04,53,63,51
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,19/01/2021,0,60,69,52
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,20/01/2021,0.02,62,68,57
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,21/01/2021,0.75,58,68,53
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,22/01/2021,0.12,50,65,45
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,23/01/2021,0.04,54,58,50
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,24/01/2021,0.35,63,65,56
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,25/01/2021,0.2,57,65,53
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,26/01/2021,0,56,62,49
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,27/01/2021,,58,69,50
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,30/01/2021,0.04,60,64,55
SF000068858,"EAST LONDON, SF",-33.033,27.833,125,01/02/2021,0.28,64,69,57
