"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-01",,"51","67","46"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-02",,"56","69","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-03",,"56","72","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-04",,"59","76","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-05",,"63","78","46"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-06",,"63","78","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-07",,"63","77","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-08","0.02","62","76","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-09","0.00","56","76","48"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-10",,"59","76","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-11",,"62","81","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-12",,"63","86","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-13",,"59","86","44"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-14",,"63","85","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-15",,"62","85","47"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-16",,"65","80","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-17",,"61","80","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-18",,"60","72","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-19",,"63","81","47"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-20",,"67","82","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-21",,"65","82","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-22",,"57","76","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-23",,"58","70","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-24",,"58","71","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-25",,"61","78","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-26",,"58","78","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-27",,"60","78","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-28",,"66","78","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-29",,"59","78","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-30",,"54","71","44"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-05-31",,"51","65","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-01","0.31","51","60","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-02","0.12","47","60","37"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-03","0.12","49","57","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-04","0.20","46","58","36"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-05","0.00","42","58","33"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-06",,"50","62","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-07",,"53","64","38"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-08",,"54","68","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-09",,"56","68","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-10",,"54","68","39"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-11",,"54","70","39"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-12",,"56","75","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-13",,"55","77","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-14",,"60","79","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2021-06-15",,"60","79","45"
