Latitude,Longitude,Elevation
-34.1905300,18.41150000,257.0
-34.1905400,18.41144000,258.0
-34.1905500,18.41136000,259.0
-34.1905500,18.41126000,260.0
-34.1905600,18.41109000,262.0
-34.1905600,18.41096000,263.0
-34.1905600,18.41080000,263.0
-34.1905500,18.41068000,262.0
-34.1905500,18.41063000,262.0
-34.1905100,18.41044000,262.0
-34.1904400,18.41029000,262.0
-34.1904200,18.41026000,263.0
-34.1903900,18.41022000,263.0
-34.1903400,18.41016000,263.0
-34.1902500,18.41010000,264.0
-34.1900900,18.40997000,265.0
-34.1900200,18.40992000,265.0
-34.1898900,18.40979000,266.0
-34.1898300,18.40971000,266.0
-34.1898000,18.40969000,267.0
-34.1896900,18.40954000,269.0
-34.1895700,18.40937000,271.0
-34.1894200,18.40921000,272.0
-34.1892900,18.40904000,272.0
-34.1892300,18.40887000,273.0
-34.1892200,18.40865000,273.0
-34.1892500,18.40838000,273.0
-34.1892600,18.40817000,274.0
-34.1892600,18.40793000,274.0
-34.1892600,18.40770000,276.0
-34.1892500,18.40763000,277.0
-34.1892500,18.40750000,278.0
-34.1892300,18.40744000,278.0
-34.1891700,18.40740000,279.0
-34.1890700,18.40721000,281.0
-34.1889700,18.40706000,282.0
-34.1888500,18.40683000,284.0
-34.1887300,18.40666000,285.0
-34.1887100,18.40664000,286.0
-34.1886500,18.40657000,286.0
-34.1886200,18.40654000,286.0
-34.1885200,18.40632000,288.0
-34.1884600,18.40625000,288.0
-34.1883700,18.40609000,289.0
-34.1882400,18.40597000,291.0
-34.1881700,18.40592000,292.0
-34.1880200,18.40577000,293.0
-34.1879100,18.40569000,293.0
-34.1878400,18.40564000,293.0
-34.1876700,18.40545000,292.0
-34.1875500,18.40525000,292.0
-34.1874400,18.40515000,292.0
-34.1874000,18.40511000,292.0
-34.1873600,18.40507000,292.0
-34.1873300,18.40503000,292.0
-34.1872200,18.40485000,292.0
-34.1871100,18.40465000,293.0
-34.1870100,18.40444000,293.0
-34.1869700,18.40433000,293.0
-34.1869400,18.40430000,293.0
-34.1869100,18.40426000,293.0
-34.1869000,18.40422000,293.0
-34.1868800,18.40415000,293.0
-34.1868400,18.40393000,293.0
-34.1867800,18.40379000,294.0
-34.1867700,18.40376000,294.0
-34.1867300,18.40358000,295.0
-34.1867200,18.40354000,295.0
-34.1867000,18.40353000,295.0
-34.1866100,18.40346000,296.0
-34.1865700,18.40341000,296.0
-34.1865300,18.40338000,297.0
-34.1863800,18.40326000,297.0
-34.1861700,18.40311000,295.0
-34.1860100,18.40298000,294.0
-34.1858300,18.40280000,293.0
-34.1856900,18.40262000,293.0
-34.1855600,18.40246000,293.0
-34.1854200,18.40230000,291.0
-34.1852800,18.40218000,290.0
-34.1852500,18.40214000,290.0
-34.1851300,18.40201000,289.0
-34.1850500,18.40193000,289.0
-34.1849100,18.40178000,289.0
-34.1848700,18.40175000,289.0
-34.1848000,18.40172000,288.0
-34.1847200,18.40171000,287.0
-34.1846000,18.40164000,286.0
-34.1844900,18.40148000,286.0
-34.1844200,18.40141000,286.0
-34.1843900,18.40139000,286.0
-34.1842900,18.40122000,287.0
-34.1842200,18.40104000,288.0
-34.1841900,18.40088000,290.0
-34.1841600,18.40082000,291.0
-34.1841500,18.40075000,292.0
-34.1841300,18.40065000,294.0
-34.1840500,18.40049000,296.0
-34.1839600,18.40032000,298.0
-34.1839300,18.40026000,299.0
-34.1838800,18.40006000,301.0
-34.1838400,18.39990000,302.0
-34.1838200,18.39987000,303.0
-34.1837600,18.39973000,303.0
-34.1836700,18.39954000,303.0
-34.1836500,18.39950000,303.0
-34.1835500,18.39926000,302.0
-34.1834600,18.39909000,301.0
-34.1833700,18.39887000,299.0
-34.1833000,18.39863000,297.0
-34.1832500,18.39845000,295.0
-34.1831700,18.39826000,295.0
-34.1831000,18.39807000,294.0
-34.1830200,18.39787000,294.0
-34.1829900,18.39781000,294.0
-34.1829500,18.39774000,293.0
-34.1828900,18.39755000,292.0
-34.1828300,18.39737000,290.0
-34.1828100,18.39732000,289.0
-34.1827700,18.39718000,288.0
-34.1827100,18.39697000,288.0
-34.1826300,18.39676000,287.0
-34.1825200,18.39658000,285.0
-34.1824300,18.39632000,285.0
-34.1823900,18.39625000,284.0
-34.1823100,18.39605000,284.0
-34.1822000,18.39586000,284.0
-34.1821000,18.39568000,285.0
-34.1819900,18.39552000,284.0
-34.1818700,18.39531000,285.0
-34.1817800,18.39509000,284.0
-34.1816700,18.39492000,282.0
-34.1815900,18.39480000,282.0
-34.1815300,18.39473000,281.0
-34.1813800,18.39460000,282.0
-34.1813300,18.39458000,283.0
-34.1812100,18.39439000,282.0
-34.1811300,18.39421000,282.0
-34.1810900,18.39411000,281.0
-34.1810600,18.39403000,280.0
-34.1809800,18.39377000,279.0
-34.1808700,18.39357000,278.0
-34.1808100,18.39348000,278.0
-34.1806900,18.39327000,278.0
-34.1805800,18.39309000,277.0
-34.1805300,18.39293000,277.0
-34.1804500,18.39266000,278.0
-34.1803400,18.39247000,279.0
-34.1802400,18.39223000,279.0
-34.1801300,18.39207000,279.0
-34.1800300,18.39191000,278.0
-34.1798600,18.39169000,277.0
-34.1797200,18.39149000,277.0
-34.1796000,18.39136000,277.0
-34.1794500,18.39118000,278.0
-34.1793500,18.39107000,277.0
-34.1791600,18.39092000,277.0
-34.1790500,18.39084000,277.0
-34.1790100,18.39080000,277.0
-34.1789800,18.39078000,277.0
-34.1789300,18.39075000,277.0
-34.1787800,18.39061000,275.0
-34.1786100,18.39051000,273.0
-34.1785600,18.39051000,272.0
-34.1785000,18.39052000,272.0
-34.1783100,18.39051000,271.0
-34.1781500,18.39051000,271.0
-34.1779200,18.39051000,273.0
-34.1778700,18.39050000,274.0
-34.1776600,18.39045000,275.0
-34.1775900,18.39037000,274.0
-34.1774300,18.39026000,274.0
-34.1773500,18.39023000,275.0
-34.1771300,18.39013000,275.0
-34.1770500,18.39006000,275.0
-34.1770300,18.39004000,275.0
-34.1768900,18.38996000,275.0
-34.1768500,18.38995000,275.0
-34.1768100,18.38994000,275.0
-34.1766800,18.38994000,275.0
-34.1764400,18.38992000,276.0
-34.1762300,18.38989000,276.0
-34.1760600,18.38985000,276.0
-34.1758400,18.38985000,276.0
-34.1756500,18.38988000,275.0
-34.1754300,18.38983000,273.0
-34.1752500,18.38984000,271.0
-34.1751900,18.38990000,271.0
-34.1751300,18.39010000,269.0
-34.1751000,18.39015000,268.0
-34.1750800,18.39018000,268.0
-34.1750100,18.39022000,267.0
-34.1748200,18.39021000,266.0
-34.1746100,18.39014000,265.0
-34.1743800,18.38998000,264.0
-34.1742700,18.38977000,264.0
-34.1741200,18.38958000,263.0
-34.1739300,18.38932000,264.0
-34.1738200,18.38913000,265.0
-34.1737100,18.38895000,265.0
