Latitude,Longitude,Elevation
-33.9630500,18.38412000,190.0
-33.9630000,18.38426000,191.0
-33.9631300,18.38433000,193.0
-33.9632600,18.38445000,197.0
-33.9633500,18.38453000,199.0
-33.9635100,18.38475000,205.0
-33.9635500,18.38497000,209.0
-33.9634400,18.38519000,210.0
-33.9632300,18.38596000,220.0
-33.9632500,18.38617000,223.0
-33.9633600,18.38643000,229.0
-33.9637600,18.38687000,240.0
-33.9638200,18.38707000,243.0
-33.9637900,18.38732000,245.0
-33.9638300,18.38761000,247.0
-33.9638600,18.38786000,250.0
-33.9637300,18.38822000,254.0
-33.9636800,18.38862000,259.0
-33.9637100,18.38889000,264.0
-33.9638500,18.38899000,270.0
-33.9641500,18.38885000,273.0
-33.9643900,18.38883000,279.0
-33.9644400,18.38881000,280.0
-33.9645200,18.38877000,281.0
-33.9645600,18.38872000,281.0
-33.9645900,18.38875000,283.0
-33.9645800,18.38879000,284.0
-33.9645800,18.38883000,285.0
-33.9646000,18.38886000,286.0
-33.9646300,18.38889000,288.0
-33.9646500,18.38896000,290.0
-33.9646700,18.38897000,291.0
-33.9646800,18.38898000,292.0
-33.9646800,18.38901000,293.0
-33.9646900,18.38904000,294.0
-33.9647100,18.38907000,295.0
-33.9647300,18.38910000,296.0
-33.9647200,18.38914000,297.0
-33.9647300,18.38917000,298.0
-33.9647600,18.38918000,299.0
-33.9647900,18.38918000,299.0
-33.9647900,18.38921000,300.0
-33.9647700,18.38923000,300.0
-33.9647700,18.38925000,301.0
-33.9647800,18.38929000,302.0
-33.9648100,18.38928000,303.0
-33.9648700,18.38928000,304.0
-33.9649000,18.38931000,305.0
-33.9650400,18.38943000,311.0
-33.9651300,18.38947000,315.0
-33.9651500,18.38949000,317.0
-33.9651600,18.38953000,318.0
-33.9651900,18.38955000,320.0
-33.9652100,18.38957000,321.0
-33.9652700,18.38963000,324.0
-33.9652900,18.38965000,325.0
-33.9653200,18.38971000,327.0
-33.9653600,18.38973000,328.0
-33.9654000,18.38978000,330.0
-33.9654400,18.38981000,331.0
-33.9654600,18.38985000,332.0
-33.9655100,18.38988000,334.0
-33.9655200,18.38990000,334.0
-33.9655700,18.38993000,336.0
-33.9656200,18.38994000,336.0
-33.9656700,18.38998000,338.0
-33.9657000,18.39001000,339.0
-33.9657400,18.39001000,340.0
-33.9657500,18.39004000,341.0
-33.9657700,18.39006000,341.0
-33.9658200,18.39007000,342.0
-33.9658400,18.39009000,343.0
-33.9658900,18.39008000,343.0
-33.9659200,18.39010000,344.0
-33.9659700,18.39013000,346.0
-33.9659900,18.39016000,347.0
-33.9660400,18.39017000,348.0
-33.9660800,18.39017000,348.0
-33.9661000,18.39019000,349.0
-33.9661000,18.39020000,349.0
-33.9661000,18.39019000,349.0
-33.9661400,18.39022000,350.0
-33.9662100,18.39025000,351.0
-33.9662800,18.39025000,352.0
-33.9663300,18.39025000,353.0
-33.9663700,18.39028000,353.0
-33.9663700,18.39031000,354.0
-33.9663900,18.39035000,355.0
-33.9664400,18.39038000,356.0
-33.9664800,18.39043000,358.0
-33.9665100,18.39044000,359.0
-33.9666200,18.39045000,362.0
-33.9666400,18.39046000,362.0
-33.9666600,18.39047000,363.0
-33.9667200,18.39042000,363.0
-33.9667800,18.39044000,365.0
-33.9669600,18.39051000,371.0
-33.9670600,18.39041000,373.0
-33.9672500,18.39034000,378.0
-33.9678000,18.39041000,401.0
-33.9681100,18.39020000,415.0
-33.9682900,18.39020000,428.0
-33.9683300,18.39017000,430.0
-33.9684700,18.39019000,436.0
-33.9685700,18.39018000,439.0
-33.9685900,18.39018000,440.0
-33.9686000,18.39018000,441.0
-33.9686100,18.39018000,441.0
-33.9686100,18.39017000,441.0
-33.9686200,18.39015000,440.0
-33.9686300,18.39010000,439.0
-33.9686600,18.39006000,439.0
-33.9686900,18.39005000,440.0
-33.9687200,18.39001000,440.0
-33.9687500,18.39000000,440.0
-33.9687600,18.39000000,441.0
-33.9688000,18.39000000,443.0
-33.9688200,18.38999000,443.0
-33.9688400,18.38998000,444.0
-33.9688500,18.38997000,444.0
-33.9688800,18.38997000,445.0
-33.9689200,18.38994000,446.0
-33.9689400,18.38994000,447.0
-33.9689500,18.38996000,448.0
-33.9689500,18.38997000,448.0
-33.9689600,18.38998000,449.0
-33.9689700,18.38998000,449.0
-33.9690700,18.38993000,452.0
-33.9693600,18.38985000,463.0
-33.9695800,18.38988000,473.0
-33.9700000,18.38957000,544.0
-33.9702300,18.38946000,515.0
-33.9705300,18.38937000,537.0
-33.9706900,18.38932000,526.0
-33.9708100,18.38939000,531.0
-33.9709300,18.38943000,531.0
-33.9711000,18.38969000,558.0
-33.9712700,18.38986000,566.0
-33.9714400,18.38994000,568.0
-33.9715200,18.39001000,572.0
-33.9714600,18.39002000,574.0
-33.9715200,18.39014000,580.0
-33.9715300,18.39017000,582.0
-33.9716300,18.39037000,589.0
-33.9715800,18.39040000,594.0
-33.9716800,18.39056000,599.0
-33.9717500,18.39063000,602.0
-33.9717300,18.39150000,658.0
-33.9718000,18.39180000,672.0
-33.9717800,18.39228000,690.0
-33.9718100,18.39260000,702.0
-33.9717900,18.39285000,711.0
-33.9718300,18.39333000,722.0
-33.9720500,18.39346000,720.0
-33.9721300,18.39373000,726.0
-33.9721500,18.39380000,727.0
-33.9722800,18.39431000,733.0
-33.9722900,18.39460000,736.0
-33.9722700,18.39473000,737.0
-33.9722700,18.39488000,740.0
-33.9722700,18.39496000,741.0
-33.9722400,18.39505000,742.0
-33.9721500,18.39514000,744.0
-33.9720000,18.39530000,748.0
-33.9719000,18.39537000,750.0
-33.9717900,18.39545000,753.0
-33.9716600,18.39559000,756.0
-33.9715100,18.39571000,760.0
-33.9715400,18.39580000,760.0
-33.9715100,18.39587000,761.0
-33.9715000,18.39596000,762.0
-33.9715200,18.39610000,762.0
-33.9715400,18.39615000,762.0
-33.9716300,18.39624000,761.0
-33.9716900,18.39634000,761.0
-33.9717700,18.39661000,762.0
-33.9717500,18.39672000,763.0
-33.9717900,18.39688000,763.0
-33.9718600,18.39698000,762.0
-33.9719100,18.39699000,761.0
-33.9720200,18.39719000,761.0
-33.9721200,18.39725000,760.0
-33.9721200,18.39741000,763.0
-33.9721800,18.39751000,763.0
-33.9722400,18.39766000,764.0
-33.9722900,18.39775000,764.0
-33.9722900,18.39788000,765.0
-33.9723400,18.39796000,765.0
-33.9724300,18.39809000,765.0
-33.9725100,18.39822000,765.0
-33.9725900,18.39835000,765.0
-33.9726800,18.39851000,766.0
-33.9727400,18.39864000,766.0
-33.9728400,18.39889000,766.0
-33.9729000,18.39898000,766.0
-33.9728400,18.39889000,766.0
-33.9727400,18.39864000,766.0
-33.9726800,18.39851000,766.0
-33.9725900,18.39835000,765.0
-33.9725100,18.39822000,765.0
-33.9724300,18.39809000,765.0
-33.9723400,18.39796000,765.0
-33.9722900,18.39788000,765.0
-33.9722900,18.39775000,764.0
-33.9722400,18.39766000,764.0
-33.9721800,18.39751000,763.0
-33.9721200,18.39741000,763.0
-33.9721200,18.39725000,760.0
-33.9720200,18.39719000,761.0
-33.9719100,18.39699000,761.0
-33.9718600,18.39698000,762.0
-33.9717900,18.39688000,763.0
-33.9717500,18.39672000,763.0
-33.9717700,18.39661000,762.0
-33.9716900,18.39634000,761.0
-33.9716300,18.39624000,761.0
-33.9715400,18.39615000,762.0
-33.9715200,18.39610000,762.0
-33.9715000,18.39596000,762.0
-33.9715100,18.39587000,761.0
-33.9715400,18.39580000,760.0
-33.9715100,18.39571000,760.0
-33.9716600,18.39559000,756.0
-33.9717900,18.39545000,753.0
-33.9719000,18.39537000,750.0
-33.9720000,18.39530000,748.0
-33.9721500,18.39514000,744.0
-33.9722400,18.39505000,742.0
-33.9722700,18.39496000,741.0
-33.9722700,18.39488000,740.0
-33.9722700,18.39473000,737.0
-33.9722900,18.39460000,736.0
-33.9722800,18.39431000,733.0
-33.9721500,18.39380000,727.0
-33.9721300,18.39373000,726.0
-33.9720500,18.39346000,720.0
-33.9718300,18.39333000,722.0
-33.9717900,18.39285000,711.0
-33.9718100,18.39260000,702.0
-33.9717800,18.39228000,690.0
-33.9718000,18.39180000,672.0
-33.9717300,18.39150000,658.0
-33.9717500,18.39063000,602.0
-33.9716800,18.39056000,599.0
-33.9715800,18.39040000,594.0
-33.9716300,18.39037000,589.0
-33.9715300,18.39017000,582.0
-33.9715200,18.39014000,580.0
-33.9714600,18.39002000,574.0
-33.9715200,18.39001000,572.0
-33.9714400,18.38994000,568.0
-33.9712700,18.38986000,566.0
-33.9711000,18.38969000,558.0
-33.9709300,18.38943000,531.0
-33.9708100,18.38939000,531.0
-33.9706900,18.38932000,526.0
-33.9705300,18.38937000,537.0
-33.9702300,18.38946000,515.0
-33.9700000,18.38957000,544.0
-33.9695800,18.38988000,473.0
-33.9693600,18.38985000,463.0
-33.9690700,18.38993000,452.0
-33.9689700,18.38998000,449.0
-33.9689600,18.38998000,449.0
-33.9689500,18.38997000,448.0
-33.9689500,18.38996000,448.0
-33.9689400,18.38994000,447.0
-33.9689200,18.38994000,446.0
-33.9688800,18.38997000,445.0
-33.9688500,18.38997000,444.0
-33.9688400,18.38998000,444.0
-33.9688200,18.38999000,443.0
-33.9688000,18.39000000,443.0
-33.9687600,18.39000000,441.0
-33.9687500,18.39000000,440.0
-33.9687200,18.39001000,440.0
-33.9686900,18.39005000,440.0
-33.9686600,18.39006000,439.0
-33.9686300,18.39010000,439.0
-33.9686200,18.39015000,440.0
-33.9686100,18.39017000,441.0
-33.9686100,18.39018000,441.0
-33.9686000,18.39018000,441.0
-33.9685900,18.39018000,440.0
-33.9685700,18.39018000,439.0
-33.9684700,18.39019000,436.0
-33.9683300,18.39017000,430.0
-33.9682900,18.39020000,428.0
-33.9681100,18.39020000,415.0
-33.9678000,18.39041000,401.0
-33.9672500,18.39034000,378.0
-33.9670600,18.39041000,373.0
-33.9669600,18.39051000,371.0
-33.9667800,18.39044000,365.0
-33.9667200,18.39042000,363.0
-33.9666600,18.39047000,363.0
-33.9666400,18.39046000,362.0
-33.9666200,18.39045000,362.0
-33.9665100,18.39044000,359.0
-33.9664800,18.39043000,358.0
-33.9664400,18.39038000,356.0
